Country,geo_longitude,geo_latitude,swingstate,dem_Score,dem_Type,FreedomHouse,EP_Govern,InterestGroups,Eff_Support,Gov_Partner,SponsorReso,NtlReplies,WCIT_Record,UNGGE,FOC,G20Mem,CyberPower,UNSC,IntPenRate,FBB_Sub,MobilePen,SocialNetworkUse,DigiContentAccess,IntlIntBandwith,WEF_NetReady,WEF_InnoCapacity,ICT_Goods_X,ICT_Services_X,ICT_Goods_Imp,BertStatus,WGI_StabilityViolence,LiteracyRate,Pop_15_29,HDI,CivicusEnviro,CSO_Traditions,CSO_Index,E_Participation,PoliWebUse
Ghana,-1.0800271,8.0300284,1,6.02,2,1,9,8,9,9,0,0,1,0,1,0,null,null,17.1,0.252235786,100.2837555,5.1,4.2,0.2,3.51,3.7,0.048701944,null,5.299471318,7.39,0.1,null,26.9,0.558,0.56,5,7,0.1053,5
Guatemala,-89.8988087,15.6356088,null,5.88,3,2,5,5,7,8,1,1,1,0,0,0,null,null,16,null,137.3211247,5.3,4.9,6.9,3.42,3.7,0.323696942,17.4573341,5.991881826,5.36,-0.65,null,30.8,0.581,0.54,6,6,0.2368,null
Honduras,-84.5978534,15.0610686,null,5.84,3,2,6,6,8,6,0,0,null,0,0,0,null,null,18.1,0.774478667,93.14969909,5.2,4.3,4.9,3.32,3.1,null,11.49168111,null,5.97,-0.4,null,30.1,0.632,0.45,5,6,0.1316,null
India,78.6677428,22.3511148,1,7.52,2,1,10,7,7,9,1,0,0,1,0,1,28.3,null,12.6,1.136884727,68.71850699,5.1,4.6,6.3,3.88,4,2.182670486,65.89388319,5.973562352,7.37,-1.25,null,26.5,0.554,0.5,4,8,0.1842,5
Indonesia,114.5632032,-4.7993356,1,6.76,2,2,7,7,7,9,1,0,1,1,0,1,23.5,null,15.4,1.218699533,115.1957716,5.7,4.9,7.2,3.84,4.4,3.855039357,38.23105459,7.405550286,6.53,-0.57,null,25.1,0.629,0.52,6,6,0.2105,5
Iran,52.9471344,32.9407496,null,1.98,4,3,2,3,1,1,0,0,1,0,0,0,null,null,26,4.068351873,76.91595827,3.1,4,3.5,3.43,3.4,null,null,null,3.64,-1.32,92.8119,31.1,0.742,0.31,7,2,0.1842,null
Iraq,44.1749775,33.0955793,null,4.1,3,3,4,3,7,6,0,0,1,0,0,0,null,null,7.1,null,79.38743144,null,null,null,null,null,null,11.96611366,null,4.22,-1.93,null,28.6,0.59,0.4,8,3,0.1053,null
Jamaica,-77.3947693,18.1850507,1,7.39,2,1,9,6,8,8,0,0,1,0,0,0,null,null,46.5,4.333055327,96.53844468,5.7,5.2,29.5,3.74,3.6,null,9.446322256,null,7.27,0.1,98.97965,30.9,0.73,null,2,6,0,5
Jordan,36.941628,31.1667049,null,3.76,4,2,2,4,6,6,0,3,1,0,0,0,null,null,41,2.998113751,139.1341219,5.9,5.4,6.3,4.2,3.5,1.471553562,null,4.091323578,5.03,-0.52,null,28.3,0.7,0.41,6,3,0.1053,3
Kazakhstan,65.2093197,47.2286086,null,2.95,4,2,2,4,6,7,1,2,1,0,0,0,null,null,53.3,9.71901065,175.3914846,4.8,5.1,21.9,4.32,3.5,0.142425714,10.58897363,5.742580134,5.13,-0.37,95.90445,26.2,0.754,0.43,7,3,0.9474,5
Kenya,38.4313975,1.4419683,1,4.71,3,2,6,6,6,4,0,0,0,0,1,0,null,null,32.1,0.100382653,71.88812255,5.2,4.7,4.5,3.54,4.1,null,null,null,5.57,-1.29,null,27.6,0.519,0.43,4,5,0.0526,5
Kuwait,47.4979476,29.2733964,null,3.78,4,2,2,6,5,6,0,0,1,0,0,0,null,null,79.2,1.625424123,191.1083767,5.7,5.3,6,3.94,2.6,null,34.46366905,null,6.05,0.18,null,27.5,0.79,null,8,4,0.1842,null
Kyrgyzstan,74.724091,41.5089324,null,4.69,3,2,4,5,7,6,1,0,1,0,0,0,null,null,21.7,2.623141893,124.7750723,4.9,5.2,1.7,3.09,2.6,0.238271609,15.90422153,3.82216916,5.32,-0.89,null,29,0.622,0.43,6,7,0.2895,null
Lebanon,35.843409,33.8750629,null,5.05,3,2,4,7,6,8,0,5,1,0,0,0,null,null,61.2,11.65034337,93.20274696,5.6,4.2,2.3,3.53,3.4,0.949849535,56.75932581,2.339595133,6.24,-1.65,59.20384634,26.4,0.745,null,3,6,0.3158,null
Libya,18.1236723,26.8234472,null,5.15,3,2,1,3,3,4,0,0,1,0,0,0,null,null,19.9,1.040266345,148.1877185,4.7,3.5,11,2.77,2.5,null,null,null,4.48,-1.56,null,28.7,0.769,null,9,2,0,null
