id,Albania,Algeria,Andorra,Antigua and Barbuda,Argentina,Armenia,Azerbaijan,Bahamas,Bahrain,Barbados,Belarus,Belize,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cameroon,Cape Verde,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Fiji,Gabon,Georgia,Ghana,Grenada,Guatemala,Guyana,Honduras,Hong Kong,India,Indonesia,Iran,Iraq,Jamaica,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Liechtenstein,Lithuania,Macedonia,Malaysia,Maldives,Malta,Marshall Islands,Mauritius,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Namibia,Nauru,Nicaragua,Nigeria,North Korea,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Qatar,Romania,Russian Federation,San Marino,Saudi Arabia,Serbia,Seychelles,Singapore,South Africa,Sri Lanka,St. Lucia,St.Kitts and Nevis,St.Vincent and the Grenadines,Suriname,Swaziland,Syrian Arab Republic,Tajikistan,Thailand,Tonga,Trinidad and Tobago,Tunisia,Turkmenistan,Ukraine,United Arab Emirates,Uruguay,Uzbekistan,Venezuela,Viet Nam,Zimbabwe
SN_Use,5.5,5.2,,,5.8,5.4,5.9,,6.2,6.1,,,3.9,5.6,5,5.8,6.1,5.3,4.7,5.2,4.9,5.4,5.8,5.3,5.2,,5.7,,5.6,4.8,5.9,5.6,,4.7,5.6,5.1,,5.3,5.7,5.2,6.2,5.1,5.7,3.1,,5.7,5.9,4.8,5.2,,5.7,4.9,5.5,5.6,4.7,,6,5.8,6,,6.4,,5.4,,5.3,,5.3,5.9,5.8,4.9,,4.4,5.3,,5.3,4.8,,6.1,,4.9,5.1,6,6.3,5.4,5.1,,5.5,4.2,5.7,6.2,5.3,4.8,,,,4.9,5.1,,4.3,5.4,,5.5,,,5.2,6.2,5.7,,5.8,4.7,4.6
MobilePen,108.4473347,103.3058644,74.2704358,198.6178323,142.5117584,106.8789619,107.4721324,72.30802078,156.2284983,126.3978436,112.059546,50.61826995,92.63840839,89.53313561,150.0911001,125.1878012,113.7682493,145.7274544,64.03876351,84.16397044,81.26473417,103.1874415,128.319647,96.27194779,113.3103477,14.94893089,98.38544554,161.5310722,88.75353163,110.7080686,115.2938083,138.0718692,98.057482,187.3553671,109.1585909,100.2837555,121.5539918,137.3211247,72.20570125,93.14969909,227.9328836,68.71850699,115.1957716,76.91595827,79.38743144,96.53844468,139.1341219,175.3914846,71.88812255,,191.1083767,124.7750723,103.375501,93.20274696,148.1877185,103.8705445,151.7793415,108.1612263,140.9350818,172.84136,128.682385,,113.0915366,24.62131349,115.937329,93.65477937,117.6225928,177.9404421,119.6873872,103.0032147,,89.77483745,67.68181156,6.923608005,181.7329118,66.76881125,82.62356682,186.7344222,37.7818366,101.6573537,98.83717634,106.7673268,134.106751,106.1366778,183.5182139,112.6936923,184.6788935,92.80270047,158.6251993,153.3975182,134.7976985,95.76187773,127.6758496,156.4333203,123.881061,182.8988627,65.96154729,61.21886911,92.21960641,120.2925445,53.38875595,139.4288967,119.9564631,76.46537683,132.0501538,169.9416213,147.2966255,72.20763996,102.1000817,149.4099973,96.92828576
Fixed_BB_Subscribers,4.957592444,3.045291997,30.96505862,5.634736493,10.88405974,6.638335759,13.7986185,2.761369298,12.73835313,23.82253306,26.56463428,3.07531484,1.07923055,10.79264523,0.781887332,9.168616425,4.807310386,17.64578819,0.005373995,3.780264577,12.9746388,8.359835568,10.04073033,0.240354093,20.29169599,0.044562907,19.22409991,12.56188576,4.424717669,5.423940162,2.724265642,3.864862936,1.543235954,0.319719056,9.108897182,0.252235786,13.70996078,,3.854159655,0.774478667,31.55361324,1.136884727,1.218699533,4.068351873,,4.333055327,2.998113751,9.71901065,0.100382653,,1.625424123,2.623141893,21.52985001,11.65034337,1.040266345,80.36300022,19.52689392,14.62450134,8.389321828,5.506408932,31.68349188,,10.57236131,,11.85409117,45.52251439,3.634439337,8.280709739,2.09079328,2.779482438,,1.65913841,0.008569317,,2.452241483,0.515096487,2.953078331,8.213372116,0.128310409,1.110289284,4.78338999,2.225114016,8.201143621,15.89712354,14.4763115,30.99702614,6.84808184,10.17575439,11.71517397,26.0830953,2.182179896,1.993983099,13.82105133,27.18960091,12.4498249,5.747180231,0.268025119,1.789968505,0.076284601,6.234460521,1.430055963,13.61296344,4.785207738,0.027081085,8.10733928,11.74191848,16.60386126,0.722034017,6.735698408,4.955518134,0.548999291
Internet_Pen,54.7,15.2,86.4,83.8,55.8,39.2,54.2,71.7,88,73.3,46.9,25,34.2,65.4,11.5,49.8,60.3,55,5.7,34.7,42.3,49,47.5,2.4,63,25.6,61,55.2,45,35.1,44.1,25.5,33.7,8.6,45.5,17.1,42.1,16,34.3,18.1,72.8,12.6,15.4,26,7.1,46.5,41,53.3,32.1,,79.2,21.7,74,61.2,19.9,89.4,68,63.1,65.8,38.9,70,10,41.4,26,43.4,87,16.4,56.8,55,12.9,,1.4,32.9,,60,10,,45.2,2.3,27.1,38.2,36.2,88.1,50,53.3,50.9,54,48.1,47.1,78.2,41,18.3,48.6,79.3,47.5,35.7,20.8,24.3,14.5,26.5,34.9,59.5,41.4,7.2,33.7,85,55.1,36.5,44,39.5,17.1
Econ_CyberPower,,,,,35.4,,,,,,,,,,,38.6,,,,,34.6,,,,,,,,,,,,,,,,,,,,,28.3,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,,,,,30.2,,,,,,,,,,,,,,,,,,,,
GDP_Cap,3999.92531,5347.704734,,12733.49043,11573.06497,3351.381364,7163.704143,21908.28046,,14917.14951,6685.018749,,2575.683695,4555.64457,7238.019365,11339.52111,41126.61284,6978.053084,1166.91341,3695.424487,6091.014352,7747.841321,9386.304835,1243.986075,13880.53607,,26070.36743,6691.714872,5745.779878,5424.633611,3256.018469,3789.567558,4467.103791,11256.52276,3490.245316,1604.905782,7266.675457,3330.52523,3583.96217,2322.88056,36795.81988,1489.229008,3556.785714,,6454.619628,5440.452465,4909.028094,12116.15461,942.5408848,3568.048768,,1159.92974,14007.87752,9705.392234,,,14183.01602,4565.269884,10432.06247,6566.647551,20847.59057,3470.649795,8119.546956,3154.513862,2037.557633,,3672.96694,7041.224593,2902.329958,5785.748182,,1753.642367,1555.360614,,,1256.65956,11005.86563,9534.408425,2184.163461,3813.471488,6795.772498,2587.016762,,9036.036168,14037.01545,,25136.21482,5189.579379,12858.1752,51709.4533,7507.67494,2923.209829,6848.237633,14313.97432,6515.217548,9376.495375,3041.850459,3289.056325,870.5421066,5479.76058,4493.720255,17436.50121,4236.793631,6797.734307,3866.989792,,14702.80039,1716.526284,12728.72685,1755.214016,714.2330072
NtlReplies,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,2,2,0,0,0,4,0,1,0,0,9,0,0,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,5,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,3,0,0,0,1,0,0
Reso_Sponsor,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1
FOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNGGE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SecureServers,13.7,0.9,,,33.6,27.7,4.7,,117.9,401.6,,,9.5,20.3,8.9,54.2,113.3,139.1,1,16,2.4,21.2,111.3,0.9,224.6,,1121.3,,20.3,19.7,3,16.9,,8.5,18.7,2.2,,13.8,9.3,7.7,570.5,2.9,3.4,1,,48.4,25.2,6.3,3.2,,179.2,2.5,205.9,41.1,1.4,,242,28.6,54.4,,1661.1,,116.6,,19.7,,13.6,25.3,4.3,19.8,,10.1,1.7,,53.4,1.1,,143.1,,9.7,,7.5,126.2,53.7,27.1,,21.5,28.9,1348.8,607.3,73.9,6,,,,34,,,0.6,16.6,,85.4,,,17.7,180.3,70.4,,8.1,4.7,1.3
